Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Variable_6,Variable_7,Variable_8,Variable_9,Variable_10,Variable_11,Variable_12,Variable_13,Variable_14,Variable_15,Cible_Prix
-0.0011948005822297483,-0.01607287639612808,-0.012798962076681488,-0.02550704449512707,0.024497624585861272,0.017888191985609495,-0.006879154192211024,0.024645302784181953,0.005044444760304067,-0.0026890486573055766,-0.015040671230626683,0.009730728998758511,0.005687066662365331,-0.02214545076434026,0.0309683479801025,-20.09884321655811
-0.03303233566012497,0.016160794550175897,0.01676797211125797,-0.00153294092233658,0.04349454596657841,-0.0031153816811261624,0.01640571281958633,0.043117096403874317,-0.015977642358024333,0.021301153115341125,-0.017574423443822207,0.006806925509454733,-0.01476410619301732,-0.02642770357445427,0.022299329378754416,17.81022379554112
-0.003799037123922139,-0.0186780097630871,0.01169445242796074,-0.006846704584046488,-0.003973403551795359,-0.04031103775624962,0.002322103992086098,-0.020367965121186646,-0.03954758040607396,0.01851622153482003,-0.011600010404889834,-0.021035306573617782,-0.0020266295046071137,0.015027653113988664,-0.037000455105797844,-2.492734331895905
-0.027192405240943317,0.006696608987685257,-0.004075462441118954,-0.024133648916077763,-0.0039677963237042795,-0.013524601292360645,0.004879650736945418,0.0026839305539992325,-0.010437862305301344,-0.0033853312786201887,0.007224764677833855,-0.001738418892488699,-0.005421624183870046,-0.0037220023053837997,-0.026108374664299636,4.182634766036499
-0.006028379605838364,0.004254313027881442,0.017833455312731252,-0.005513694211688287,0.027695100485926705,-0.007510571844004884,-0.003430081021670621,0.05225818111738516,-0.022053671048365454,0.020280503352568896,0.004341809633354166,0.021832796374353685,-0.002558233433999246,-0.0010929432147006697,0.002818823829157748,11.223217409452385
-0.003915044924856923,0.015920688444736913,-0.005854634818214528,0.02658113527988208,-0.0071397616191977,0.007286462716775105,-0.009443336666911465,-0.02105603910389096,0.011183969884328897,-0.01225640360649215,0.004112449351550201,-0.009647994066690315,-0.0009218190529159352,0.018830565024219054,0.020478565451268867,-14.356100312841553
-0.005136536534270216,0.00010629438606401479,-0.003771365488799171,-0.0063002703113643485,-0.016182982262299278,-0.004239544104380611,-0.020845249324760097,-0.007360404421597152,-0.03404795656801397,0.006949218359718649,0.015352251375118852,0.0075915672207343314,0.028865629058992433,0.022919561283967667,-0.021031173189212198,-11.40604507627162
-0.015355731904344874,-0.01664789070155182,0.026752283073266766,0.008587901833930357,0.028745873451979955,-0.026021111564499648,0.013705289997776732,0.027292877921768755,-0.024862203953658575,0.02632513147197545,-0.008776531484142378,0.020498982582949913,-0.028933777904271325,0.015141820296484008,-0.015455303082769808,-4.216665912712779
-0.008970570650657445,0.003534111417787809,0.005299737623328122,-0.007995978249307825,0.001259706613043553,-0.00790982290627077,0.013226364745055423,-0.04440815602716277,-0.010466207829547231,0.012004245966529773,-0.02441053347752516,-0.04077391183839676,0.046949148282327775,-0.0004588193926342817,0.019118845197523025,1.7525210402663625
0.02340644684005149,0.01939155091909286,0.03916773641069788,0.015827977651267304,-0.020297182165032464,-0.02057834607527795,-0.009879141924056305,-0.014674956649634712,0.0013518249672119834,-0.01658876553926178,0.004572440756212837,0.006499392608678725,0.006255619906171294,0.013846452543767538,-0.0347490484373104,-1.0417496176871461
